Version,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艦船ID,図鑑番号,艦名,読み,艦種,改装Lv,改装後,耐久,装甲,火力,雷撃,対空,運,速力,射程,スロット数,搭載数,建造時間,解体資源,近代化改修,レア,ドロップ文章,改装弾薬,改装鋼材,搭載燃料,搭載弾薬,ボイス,回避,対潜,索敵,初期装備,制空値,加重対空値
1,31,睦月,むつき,2,20,254,"[13,24]","[5,18]","[6,29]","[18,59]","[7,29]","[12,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[1,1,0,0]",3,睦月です。<br>はりきって、まいりましょー！,100,100,15,15,0,"[37,79]","[16,39]","[4,17]","[1,37,-1,-1,-1]",0,17
2,32,如月,きさらぎ,2,20,255,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",2,如月と申します。<br>おそばに置いてくださいね。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
3,0,なし,なし,2,0,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]",0,0,0,"[0,0,0,0,0]",0,"[0,0,0,0]","[0,0,0,0]",0,,0,0,0,0,0,"[38,69]","[24,69]","[8,39]","[4,-1,-1,-1,-1]",0,0
4,0,なし,なし,2,0,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]",0,0,0,"[0,0,0,0,0]",0,"[0,0,0,0]","[0,0,0,0]",0,,0,0,0,0,0,null,null,null,null,0,0
5,0,なし,なし,2,0,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]",0,0,0,"[0,0,0,0,0]",0,"[0,0,0,0]","[0,0,0,0]",0,,0,0,0,0,0,null,null,null,null,0,0
6,35,長月,ながつき,2,20,258,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[15,69]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",2,長月だ。<br>駆逐艦と侮るなよ。役に立つはずだ。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
7,37,三日月,みかづき,2,20,260,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",1,あなたが司令官ですね。三日月です。<br>どうぞお手柔らかにお願いします。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
8,0,なし,なし,2,0,0,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]",0,0,0,"[0,0,0,0,0]",0,"[0,0,0,0]","[0,0,0,0]",0,,0,0,0,0,0,null,null,null,null,0,0
9,11,吹雪,ふぶき,2,20,201,"[15,29]","[5,19]","[10,29]","[27,79]","[10,39]","[17,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[1,1,0,0]",3,はじめまして吹雪です。<br>よろしくお願い致します。,100,100,15,20,0,"[40,89]","[20,49]","[5,19]","[2,13,-1,-1,-1]",0,6
10,12,白雪,しらゆき,2,20,202,"[15,29]","[5,19]","[10,29]","[27,69]","[10,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,白雪です。<br>よろしくお願いします。,100,100,15,20,0,"[40,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
11,14,深雪,みゆき,2,20,204,"[15,29]","[5,19]","[10,29]","[27,69]","[10,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,深雪だよ。<br>よろしくな！,100,100,15,20,0,"[40,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
12,16,磯波,いそなみ,2,20,206,"[15,29]","[5,19]","[10,29]","[27,69]","[10,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,あ、あの…磯波と申します。<br>よろしくお願いいたします。,100,100,15,20,0,"[40,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
13,17,綾波,あやなみ,2,20,207,"[15,29]","[5,19]","[10,29]","[27,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[1,1,0,0]",3,ごきげんよう。<br>特型駆逐艦、綾波と申します。,100,100,15,20,0,"[41,89]","[20,49]","[5,19]","[2,13,-1,-1,-1]",0,6
14,18,敷波,しきなみ,2,20,208,"[15,29]","[5,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",2,アタシの名は敷波。<br>以後よろしく。,100,100,15,20,0,"[41,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
15,68,曙,あけぼの,2,20,231,"[15,29]","[5,19]","[10,29]","[27,69]","[12,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,特型駆逐艦「曙」よ。<br>って、こっち見んな！　この糞提督！,100,100,15,20,0,"[41,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
16,70,潮,うしお,2,20,233,"[15,29]","[5,19]","[10,29]","[27,69]","[12,39]","[20,79]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,特型駆逐艦…綾波型の「潮」です。<br>もう下がってよろしいでしょうか…。,100,100,15,20,0,"[41,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
17,91,陽炎,かげろう,2,20,225,"[16,34]","[6,19]","[10,29]","[24,79]","[12,39]","[12,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[1,1,0,1]",3,やっと会えた！　陽炎よ。<br>よろしくねっ！,100,100,15,20,0,"[44,79]","[24,49]","[6,19]","[2,14,-1,-1,-1]",0,6
18,92,不知火,しらぬい,2,20,226,"[16,34]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",2,不知火です。<br>ご指導ご鞭撻、よろしくです。,100,100,15,20,0,"[44,79]","[24,49]","[6,19]","[2,-1,-1,-1,-1]",0,6
19,93,黒潮,くろしお,2,20,227,"[16,34]","[6,19]","[10,29]","[24,69]","[9,39]","[10,49]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,0,1]",1,黒潮や、よろしゅうな。,100,100,15,20,0,"[44,79]","[24,49]","[6,19]","[2,-1,-1,-1,-1]",0,6
20,5,雪風,ゆきかぜ,2,20,228,"[16,39]","[7,29]","[10,29]","[24,79]","[12,49]","[50,99]",10,1,2,"[0,0,0,0,0]",24,"[1,1,6,0]","[0,1,1,1]",6,陽炎型駆逐艦８番艦、雪風です。<br>どうぞ、よろしくお願いしますっ！,100,100,15,20,0,"[50,89]","[24,49]","[6,19]","[2,14,-1,-1,-1]",0,6
21,42,長良,ながら,3,20,218,"[26,39]","[10,29]","[14,49]","[24,89]","[13,59]","[12,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,2]",4,軽巡、長良です。<br>よろしくお願いします！,200,200,25,25,0,"[37,79]","[20,59]","[8,39]","[4,14,-1,-1,-1]",0,7
22,43,五十鈴,いすず,3,12,219,"[26,39]","[10,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",2,五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。,200,200,25,25,0,"[37,69]","[40,79]","[8,39]","[4,-1,-1,-1,-1]",0,7
23,45,由良,ゆら,3,20,220,"[26,39]","[10,29]","[14,39]","[24,79]","[13,49]","[10,49]",10,2,2,"[1,1,0,0,0]",60,"[2,2,10,0]","[0,1,0,1]",1,長良型軽巡四番艦の「由良」です。<br>どうぞ、よろしくお願いいたしますっ！,200,200,25,25,0,"[37,69]","[40,79]","[8,39]","[4,-1,-1,-1,-1]",0,7
24,19,大井,おおい,3,10,57,"[25,39]","[11,29]","[14,49]","[24,89]","[13,59]","[17,49]",10,2,2,"[0,0,0,0,0]",60,"[2,2,9,0]","[0,1,0,1]",5,こんにちはー。軽巡洋艦、大井です。<br>どうぞ、よろしくお願い致しますね。,100,400,25,25,1,"[37,77]","[19,59]","[8,39]","[4,14,-1,-1,-1]",0,7
25,20,北上,きたかみ,3,10,58,"[25,39]","[10,29]","[14,39]","[24,79]","[13,49]","[15,69]",10,2,2,"[0,0,0,0,0]",60,"[2,2,9,0]","[0,1,0,1]",4,アタシは軽巡、北上。<br>まーよろしく。,100,400,25,25,1,"[36,69]","[19,59]","[8,39]","[4,14,-1,-1,-1]",0,7
26,26,扶桑,ふそう,9,20,286,"[67,89]","[59,79]","[74,94]","[0,0]","[23,79]","[5,39]",5,3,4,"[3,3,3,3,0]",260,"[9,18,36,3]","[4,0,1,3]",4,扶桑型超弩級戦艦、姉の扶桑です。<br>妹の山城ともども、よろしくお願い致します。,500,150,85,120,0,"[19,39]","[0,0]","[9,33]","[7,11,25,-1,-1]",0,9
27,27,山城,やましろ,9,20,287,"[67,89]","[59,79]","[74,94]","[0,0]","[23,79]","[5,39]",5,3,4,"[3,3,3,3,0]",260,"[9,18,36,3]","[4,0,1,3]",4,扶桑型戦艦姉妹、妹のほう、山城です。<br>あの、扶桑姉さま、見ませんでした？,500,150,85,120,0,"[19,39]","[0,0]","[9,33]","[7,11,25,-1,-1]",0,9
28,33,皐月,さつき,2,20,256,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",2,皐月だよっ。<br>よろしくな！,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
29,34,文月,ふみづき,2,20,257,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",2,あたし、文月っていうの。<br>よろしくぅ～。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
30,36,菊月,きくづき,2,20,259,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",1,私が菊月だ、共にゆこう。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
31,38,望月,もちづき,2,20,261,"[13,24]","[5,18]","[6,29]","[18,49]","[7,29]","[10,49]",10,1,2,"[0,0,0,0,0]",18,"[1,1,4,0]","[0,1,0,0]",1,ん？あぁ、望月でーす。,100,100,15,15,0,"[37,69]","[16,39]","[4,17]","[1,-1,-1,-1,-1]",0,5
32,13,初雪,はつゆき,2,20,203,"[15,29]","[5,19]","[10,29]","[27,69]","[10,39]","[10,49]",10,1,2,"[0,0,0,0,0]",20,"[1,1,5,0]","[0,1,0,0]",1,初雪……です……よろしく。,100,100,15,20,0,"[40,79]","[20,49]","[5,19]","[2,-1,-1,-1,-1]",0,6
