Version,4,,,,,,,,,,,,,,,,,,,,,,,,
装備ID,図鑑番号,装備名,種類,耐久,装甲,火力,雷撃,速力,爆装,対空,対潜,api_atap,命中,雷撃命中,回避,雷撃回避,爆装回避,索敵,索敵妨害,運,射程,レアリティ,破棄時資材,説明,弾薬消費
0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null
1,1,12cm単装砲,"[1,1,1,1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"[0,1,1,0]",旧型の小型砲です。<br>旧型駆逐艦に標準的主砲として搭載されました。<br>装填・操砲も人力ですが、シンプルな構造で経済性も高く、駆逐艦や海防艦等の主砲として、長く使われました。<br>対空射撃には不向きです。,0
2,2,12.7cm連装砲,"[1,1,1,1]",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,"[0,1,2,0]",艦隊型駆逐艦の主砲です。<br>防盾で全周を遮蔽、弾片や荒天対策を施しており、また動力操砲も採用した近代的な小型艦の主砲で、多くの主力駆逐艦に採用されました。<br>あまり仰角はとれず、対空射撃は少し苦手です。,0
3,3,10cm連装高角砲,"[1,1,1,16]",0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,"[0,1,3,0]",防空型駆逐艦の主砲です。画期的な長砲身半自動装填砲を動力砲塔に備えた「長10cm」と呼ばれた新型の防空用高角砲で、「秋月」型駆逐艦に採用されました。複雑な構造のため量産には不向きでしたが、敵機の跳梁を抑える艦隊防空の切り札の一つです。,0
4,4,14cm単装砲,"[1,1,2,2]",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,"[0,2,1,0]",巡洋艦の主砲や戦艦の副砲として独自開発された中距離砲です。<br>やや旧式化していますが、列強の15cm砲とほぼ同等の射程と威力を持っています。<br>対艦対地専門で、対空射撃はできません。,0
5,5,15.5cm三連装砲,"[1,1,2,2]",0,0,7,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,"[0,2,5,0]",条約下で保有数に制限のあった重巡を、火力を増強した強力な軽巡で補うために開発されました。<br>初の三連装砲でしたが、射程・発射速度・運用性全てに高い評価を得ることになりました。<br>後に有名な「大和」型戦艦の副砲としても採用されています。<br>対空戦にも効果を発揮する傑作砲です。,0
6,6,20.3cm連装砲,"[1,1,2,2]",0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,"[0,3,4,0]",重巡に搭載された主砲、それが20.3cm連装砲です。<br>条約上限一杯の8インチ（20.3cm）のこの砲は、中距離での砲撃戦はもちろん、夜戦のような近距離での殴り合いでも十分にその威力を発揮します。<br>限定的ですが、対空射撃も可能です。,0
7,7,35.6cm連装砲,"[1,1,3,3]",0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,"[0,10,15,0]",標準的な戦艦の主砲です。<br>「金剛」型建造と同時期に英国に発注され、後に国産化、「伊勢」型までの標準的な戦艦主砲して運用されました。<br>遠距離からの堂々たる艦隊砲撃戦を実現します。,0
8,8,41cm連装砲,"[1,1,3,3]",0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,"[0,12,20,0]",呉海軍工廠砲熕部で開発された初の純国産戦艦主砲です。<br>16インチ（40.6cm）を僅かに上回る、この41cm砲は「大和」型の46cm砲が登場するまで世界最大の戦艦砲でした。<br>これを搭載した「長門」「陸奥」は、当時世界列強の「ビック７」として、多くのファンに称えられていました。,0
9,9,46cm三連装砲,"[1,1,3,3]",0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,2,"[0,24,25,0]",呉海軍工廠砲熕部が極秘開発した世界最大最強の戦艦主砲です。<br>敵戦艦に対してアウトレンジが可能な最大射程40kmを超える最新鋭のこの巨砲は、機密保持のため公式には16インチ砲とされていました。<br>「三式弾」を用いた強力な対空射撃も可能です。,0
10,10,12.7cm連装高角砲,"[1,2,4,16]",0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,"[0,2,2,0]",標準的な対空高角砲です。<br>量産に向いた構造で経済性も高く、戦艦や空母、巡洋艦などに広く搭載されました。<br>発射速度や旋回速度にやや難がありますが、重要な対空火器です。,0
11,11,15.2cm単装砲,"[1,2,4,4]",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,"[0,2,2,0]",英国開発のものを国産化、「金剛」型戦艦や「扶桑」型戦艦の副砲として搭載されました。<br>「伊勢」型戦艦以降は改良軽量型14cm砲が搭載されるようになりました。<br>対空射撃は不可能で、後に近代化改修に伴い、対空火器増設や軽量化のため、表舞台から去っていきました。,0
12,12,15.5cm三連装副砲,"[1,2,4,4]",0,0,7,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,1,"[0,2,5,0]",巡洋艦の主砲だったものを、戦艦の副砲として活用しました。<br>「大和」型に搭載され、対空戦も可能な、性能・運用性ともに優秀な戦艦副砲となりました。<br>砲塔部の装甲が薄いのが玉に瑕で、諸説ありますが「大和」型の唯一の弱点という指摘もありました。,0
13,13,61cm三連装魚雷,"[2,3,5,5]",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[1,1,1,0]",陳腐化した53cm魚雷の後継として開発された大型の61cm魚雷。<br>その三連装発射管は、駆逐艦の主力兵装として「睦月」型や「吹雪」型などに搭載されました。<br>魚雷戦や夜戦の主力兵装として活躍します。,0
14,14,61cm四連装魚雷,"[2,3,5,5]",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[1,2,2,0]",強力な61cm魚雷の四連装発射管です。<br>迅速に次弾を装填できる次発装填装置を搭載、夜戦等での反転再雷撃能力も増大しました。<br>「白露」型以降の艦隊型駆逐艦や、近代化改装後の主力重巡洋艦などに搭載されました。,0
15,15,61cm四連装(酸素)魚雷,"[2,3,5,5]",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[2,2,2,0]",大威力長射程を誇る、秘密兵器「九三式酸素魚雷」。<br>その必殺の酸素魚雷を四連装した水雷兵装の決定版が、この四連装【酸素魚雷】発射管です。<br>新型の主力駆逐艦や各巡洋艦などに搭載され、夜戦等で最大の雷装戦力を構成します。,0
16,16,九七式艦攻,"[3,5,8,8]",0,0,0,5,0,0,0,4,0,0,16,0,0,0,1,0,0,0,0,"[1,1,0,2]",当時の世界水準を遥かに上回る艦上攻撃機の傑作機。<br>優れた航続距離を誇り、速度や防弾装備は劣るものの、初期の機動部隊艦載機の主力攻撃機として大活躍しました。<br>「九七艦攻」と呼ばれ、雷撃・水平爆撃をこなす主力艦上攻撃機ですが、徐々に現役を退いていきます。,0
17,17,天山,"[3,5,8,8]",0,0,0,7,0,0,0,3,0,0,24,0,0,0,1,0,0,0,1,"[2,4,0,4]",旧式化した「九七艦攻」の後継機として開発された、新型の艦上攻撃機「天山」。<br>機動部隊に配備され、主に雷撃任務を担当します。<br>急降下爆撃機の「彗星」などと一緒に、ぜひ空母機動部隊で運用してくださいね。,0
18,18,流星,"[3,5,8,8]",0,0,0,10,0,0,0,4,0,0,56,0,0,0,1,0,0,0,2,"[2,5,0,10]",艦攻と艦爆を統合した先進的な”急降下爆撃可能な雷撃機”、それが「流星」です。<br>発動機不調と重量過大に悩みながらも、開発に成功。高い性能を誇る最新鋭の艦上攻撃機です。<br>先進的な性能を体現した独特のフォルムも魅力的な本機、ぜひ、新型艦戦「烈風」と共に空母に積んであげてくださいね。,0
19,19,九六式艦戦,"[3,5,6,6]",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"[1,1,0,1]",旧式の艦上戦闘機です。<br>零戦より前に実戦配備されていた旧型機ですが、優れた格闘戦能力を持っています。<br>武装や航続力、速度の点で既に二線級ではありますが、防空戦闘には活用可能です。,0
